Unnamed: 0,battleTime,arena.id,gameMode.id,average.startingTrophies,winner.tag,winner.startingTrophies,winner.trophyChange,winner.crowns,winner.kingTowerHitPoints,winner.princessTowersHitPoints,winner.clan.tag,winner.clan.badgeId,loser.tag,loser.startingTrophies,loser.trophyChange,loser.crowns,loser.kingTowerHitPoints,loser.clan.tag,loser.clan.badgeId,loser.princessTowersHitPoints,tournamentTag,winner.card1.id,winner.card1.level,winner.card2.id,winner.card2.level,winner.card3.id,winner.card3.level,winner.card4.id,winner.card4.level,winner.card5.id,winner.card5.level,winner.card6.id,winner.card6.level,winner.card7.id,winner.card7.level,winner.card8.id,winner.card8.level,winner.cards.list,winner.totalcard.level,winner.troop.count,winner.structure.count,winner.spell.count,winner.common.count,winner.rare.count,winner.epic.count,winner.legendary.count,winner.elixir.average,loser.card1.id,loser.card1.level,loser.card2.id,loser.card2.level,loser.card3.id,loser.card3.level,loser.card4.id,loser.card4.level,loser.card5.id,loser.card5.level,loser.card6.id,loser.card6.level,loser.card7.id,loser.card7.level,loser.card8.id,loser.card8.level,loser.cards.list,loser.totalcard.level,loser.troop.count,loser.structure.count,loser.spell.count,loser.common.count,loser.rare.count,loser.epic.count,loser.legendary.count,loser.elixir.average
0,2020-12-31 21:02:12+00:00,54000050.0,72000006.0,5363.0,#PVLPJP2Y,5372.0,28.0,2.0,4145.0,[1484],#2PYV00GQ,16000030.0,#PLYJVUQY2,5354.0,-28.0,1.0,1402.0,#8G2QJ9Y2,16000044.0,,,26000008,13,26000022,13,28000001,13,26000004,13,26000003,13,27000004,13,28000002,13,26000006,13,"[26000003, 26000004, 26000006, 26000008, 26000022, 27000004, 28000001, 28000002]",104,5,1,2,3,2,3,0,4.5,27000004,13,26000015,13,28000010,13,28000009,13,28000012,13,26000023,13,26000000,13,28000015,13,"[26000000, 26000015, 26000023, 27000004, 28000009, 28000010, 28000012, 28000015]",104,3,1,4,1,1,4,2,3.5
1,2020-12-31 21:02:15+00:00,54000050.0,72000006.0,5407.0,#8PRLRYYCV,5409.0,29.0,1.0,5304.0,"[579, 3082]",,,#92VG2CPY,5405.0,-29.0,0.0,5107.0,#8V22RYJ9,16000097.0,[2280],,26000056,13,28000011,12,27000003,12,26000010,12,28000004,13,26000000,13,26000040,12,26000026,12,"[26000000, 26000010, 26000026, 26000040, 26000056, 27000003, 28000004, 28000011]",99,5,1,2,2,2,2,2,2.875,26000037,13,26000046,13,26000055,13,28000009,13,27000001,13,26000062,13,26000023,13,26000027,13,"[26000023, 26000027, 26000037, 26000046, 26000055, 26000062, 27000001, 28000009]",104,6,1,1,0,1,2,5,4.25
2,2020-12-31 21:02:45+00:00,54000050.0,72000006.0,5741.0,#2G8LQRCG,5749.0,28.0,2.0,5762.0,"[2080, 2099]",#29GY0C28,16000112.0,#2PCUY9U80,5733.0,-28.0,0.0,2070.0,#YCU29JR2,16000077.0,,,26000044,13,26000059,13,26000010,13,26000061,13,26000055,13,26000042,13,28000015,13,28000008,13,"[26000010, 26000042, 26000044, 26000055, 26000059, 26000061, 28000008, 28000015]",104,6,0,2,2,1,2,3,3.5,26000046,13,26000041,13,26000028,13,26000049,13,26000022,13,26000027,13,28000008,13,26000059,13,"[26000022, 26000027, 26000028, 26000041, 26000046, 26000049, 26000059, 28000008]",104,7,0,1,4,2,1,1,4.125
3,2020-12-31 21:03:13+00:00,54000050.0,72000006.0,4307.0,#Y9QL09VGV,4316.0,28.0,2.0,4392.0,[1322],#2J9YCYG0,16000168.0,#9GJJGYL8P,4298.0,-28.0,1.0,4228.0,#YR9YCRRC,16000163.0,,,28000004,11,28000000,9,26000041,11,26000016,10,26000026,10,28000011,11,26000023,10,28000012,8,"[26000016, 26000023, 26000026, 26000041, 28000000, 28000004, 28000011, 28000012]",80,4,0,4,1,1,3,3,3.25,26000027,10,26000031,10,28000000,10,26000033,10,26000046,10,26000012,10,26000062,10,27000006,10,"[26000012, 26000027, 26000031, 26000033, 26000046, 26000062, 27000006, 28000000]",80,6,1,1,2,1,2,3,3.75
4,2020-12-31 21:03:17+00:00,54000050.0,72000006.0,5776.5,#9RRYG9P9U,5783.0,28.0,3.0,5832.0,"[3668, 3668]",#V0U,16000054.0,#80J0LUCP8,5770.0,-28.0,0.0,,#2QP222UU,16000114.0,,,28000011,13,26000021,13,26000014,13,26000038,13,28000000,13,26000030,13,26000010,13,27000000,13,"[26000010, 26000014, 26000021, 26000030, 26000038, 27000000, 28000000, 28000011]",104,5,1,2,3,4,0,1,2.625,26000021,13,27000004,13,26000037,13,28000011,13,26000064,13,28000000,13,26000011,13,26000010,13,"[26000010, 26000011, 26000021, 26000037, 26000064, 27000004, 28000000, 28000011]",104,5,1,2,2,4,0,2,3.25
5,2020-12-31 21:03:27+00:00,54000050.0,72000006.0,4824.0,#9JVCRG9J2,4828.0,29.0,1.0,5832.0,"[1519, 3260]",#Y0UVYGRJ,16000096.0,#YL2RV8Y,4820.0,-29.0,0.0,5205.0,#PYL0P9J,16000125.0,[3570],,26000041,13,26000045,13,28000002,11,26000043,13,26000049,13,26000011,13,26000021,13,28000011,13,"[26000011, 26000021, 26000041, 26000043, 26000045, 26000049, 28000002, 28000011]",102,6,0,2,3,2,2,1,3.5,26000009,13,26000001,13,26000045,13,26000038,13,26000039,13,28000015,10,28000000,13,28000008,13,"[26000001, 26000009, 26000038, 26000039, 26000045, 28000000, 28000008, 28000015]",101,5,0,3,2,3,3,0,3.625
6,2020-12-31 21:03:48+00:00,54000050.0,72000006.0,5125.0,#2J209CGCL,5123.0,30.0,2.0,5344.0,[1635],#U0JCGLV,16000024.0,#200Q9Y08L,5127.0,-30.0,1.0,5832.0,#9RCUJJ0,16000029.0,,,26000061,13,26000052,13,26000020,13,28000015,13,26000044,13,26000084,13,28000014,13,26000024,13,"[26000020, 26000024, 26000044, 26000052, 26000061, 26000084, 28000014, 28000015]",104,6,0,2,2,2,3,1,3.625,26000000,13,26000056,13,26000031,13,27000010,13,28000000,13,26000005,13,28000011,13,26000011,13,"[26000000, 26000005, 26000011, 26000031, 26000056, 27000010, 28000000, 28000011]",104,5,1,2,3,3,1,1,3.125
7,2020-12-31 21:03:48+00:00,54000050.0,72000006.0,5318.0,#2VUYRR2QY,5299.0,33.0,2.0,5832.0,[1331],#PYV00PLR,16000029.0,#809J00C9Q,5337.0,-33.0,1.0,5639.0,#2V220RC9,16000154.0,,,26000055,13,26000021,13,27000006,13,26000015,13,26000049,13,26000019,13,28000011,13,28000000,13,"[26000015, 26000019, 26000021, 26000049, 26000055, 27000006, 28000000, 28000011]",104,5,1,2,3,2,1,2,3.625,26000004,13,26000035,13,26000044,13,26000013,13,26000006,13,28000008,13,28000000,13,26000039,12,"[26000004, 26000006, 26000013, 26000035, 26000039, 26000044, 28000000, 28000008]",103,6,0,2,2,2,3,1,4.0
8,2020-12-31 21:04:12+00:00,54000050.0,72000006.0,4679.5,#LYCQ2JGLC,4687.0,28.0,1.0,5234.0,"[3346, 2712]",#299RY8CJ,16000029.0,#UC2GYUPP,4672.0,-28.0,0.0,5304.0,#88RG2RC2,16000075.0,[3346],,26000004,13,26000062,12,26000000,12,26000021,12,28000001,12,26000042,12,28000008,12,26000016,13,"[26000000, 26000004, 26000016, 26000021, 26000042, 26000062, 28000001, 28000008]",98,6,0,2,3,1,2,2,4.0,26000042,11,26000064,12,27000006,13,26000055,12,28000001,12,28000007,11,26000011,12,26000000,13,"[26000000, 26000011, 26000042, 26000055, 26000064, 27000006, 28000001, 28000007]",96,5,1,2,4,1,1,2,4.25
9,2020-12-31 21:04:37+00:00,54000050.0,72000006.0,5169.5,#2RR29VV20,5169.0,30.0,1.0,5832.0,"[3668, 803]",#PVGRLQC0,16000043.0,#89VULGQGG,5170.0,-30.0,0.0,5107.0,#YQQP8V2Q,16000003.0,[3668],,26000023,13,28000007,13,26000064,13,27000006,13,28000011,13,28000012,13,26000004,13,28000004,13,"[26000004, 26000023, 26000064, 27000006, 28000004, 28000007, 28000011, 28000012]",104,3,1,4,2,0,4,2,3.875,26000004,13,28000002,13,27000006,13,26000067,13,28000000,13,26000007,13,26000017,13,26000011,13,"[26000004, 26000007, 26000011, 26000017, 26000067, 27000006, 28000000, 28000002]",104,5,1,2,1,4,3,0,4.25
